UF;Nome;CD;Lat;Long;Carga;Energia
PB;Serra Redonda;2515807;-35,663192;-7,17122;362;321,88608
SP;Lucélia;3527405;-50,991662;-21,64414;362;724,448
MG;Patrocínio do Muriaé;3148202;-42,252987;-21,167153;362;850,0288
RJ;São Gonçalo;3304904;-42,99723;-22,825649;360;299,52
PA;Bannach;1501253;-50,634416;-7,486384;360;474,60608
SE;Nossa Senhora de Lourdes;2804706;-37,015977;-10,077394;357;756,44736
MA;Senador La Rocque;2111763;-47,143964;-5,388206;357;555,8656
MG;Silveirânia;3167301;-43,203044;-21,143368;355;823,98848
MG;Divino das Laranjeiras;3122108;-41,506988;-18,712453;355;443,93216
PI;Beneditinos;2201606;-42,403942;-5,469891;355;601,9168
CE;Icapuí;2305357;-37,411558;-4,738419;354;311,1392
RJ;Paraíba do Sul;3303708;-43,305693;-22,18381;354;335,39072
CE;Aratuba;2301406;-39,02707;-4,420679;354;617,55008
SP;Santa Adélia;3545605;-48,81902;-21,31779;353;739,19744
MG;Bugre;3109253;-42,310856;-19,357696;352;326,5024
AL;Marechal Deodoro;2704708;-35,906249;-9,715976;352;292,864
PB;Matinhas;2509339;-35,771526;-7,118621;351;373,0624
ES;Itaguaçu;3202702;-40,864571;-19,728438;351;302,6624
GO;Cachoeira de Goiás;5204201;-50,699395;-16,720616;350;291,2
SP;Barrinha;3505609;-48,095055;-21,232548;350;777,996
SP;Lavrinhas;3526605;-44,888856;-22,520346;348;454,15936
RS;Capão da Canoa;4304630;-50,000149;-29,679672;347;708,49152
MT;Figueirópolis D'Oeste;5103809;-58,704206;-15,526495;346;621,99808
MT;Barão de Melgaço;5101605;-56,031741;-16,820146;346;359,02848
TO;São Sebastião do Tocantins;1720309;-48,331902;-5,240596;346;384,89152
PE;Salgadinho;2612109;-35,593818;-7,916145;345;657,68192
PE;Panelas;2610202;-36,049141;-8,665102;345;325,8176
AL;Pilar;2706901;-36,003108;-9,61308;345;287,04
AL;São José da Laje;2708303;-36,039937;-8,98752;342;292,30976
MG;Araçaí;3103207;-44,218444;-19,234842;342;656,7296
MG;Itabira;3131703;-43,299913;-19,600608;341;612,2432
PE;Camutanga;2603603;-35,299566;-7,433123;340;355,17888
RJ;Itaboraí;3301900;-42,854632;-22,749691;340;307,952
MG;Delta;3121258;-47,809689;-19,936103;340;460,3
MG;Angelândia;3102852;-42,282835;-17,703241;339;496,65152
MG;São Gonçalo do Rio Abaixo;3161908;-43,321368;-19,817153;339;796,7232
MA;São Francisco do Brejão;2110856;-47,353657;-5,158504;339;612,88256
PA;Ponta de Pedras;1505700;-49,077282;-1,117508;338;320,5632
BA;Várzea da Roça;2933059;-40,05437;-11,599848;335;304,416
MG;São Sebastião do Rio Preto;3164803;-43,219483;-19,300504;335;748,3392
MG;Onça de Pitangui;3145802;-44,735534;-19,708231;335;796,9248
MT;Glória D'Oeste;5103957;-58,321238;-15,840431;335;696,3776
SP;Bom Jesus dos Perdões;3507100;-46,478979;-23,17252;333;625,104
BA;Ipirá;2914000;-39,786891;-12,202811;332;291,1744
PE;Águas Belas;2600500;-37,038648;-9,087044;331;344,8992
SP;Piratininga;3539400;-49,191797;-22,424953;330;568,4672
AL;Coqueiro Seco;2702207;-35,80874;-9,642262;330;274,56
PI;São Miguel da Baixa Grande;2210383;-42,273154;-5,818571;330;394,27008
PI;Barreiras do Piauí;2201309;-45,694006;-9,983135;329;309,51424
RJ;Quatis;3304128;-44,236923;-22,355;329;306,0672
PI;Arraial;2201002;-42,52031;-6,618086;328;687,83616
PB;Desterro;2505402;-37,092267;-7,300071;328;646,06336
SP;São Bento do Sapucaí;3548609;-45,686807;-22,681397;327;748,7424
PI;Angical do Piauí;2200608;-42,750149;-6,106839;327;639,98912
CE;Potiretama;2311231;-38,167804;-5,749797;326;423,5392
AL;Colônia Leopoldina;2702108;-35,760051;-8,94183;326;286,61824
MG;Monte Formoso;3143153;-41,266287;-16,877365;326;296,33536
PE;Ferreiros;2605509;-35,243141;-7,47682;325;418,41344
MG;Passabém;3147501;-43,1753;-19,360287;325;713,7536
SP;Dolcinópolis;3514205;-50,528285;-20,117241;325;715,90144
RJ;Porciúncula;3304102;-41,969475;-20,906388;324;494,4384
SC;Florianópolis;4205407;-48,508171;-27,577897;324;580,8128
MG;Catuti;3115474;-43,097411;-15,335646;324;346,5888
PI;Cajazeiras do Piauí;2202075;-42,459315;-6,781908;324;686,03904
MA;São Pedro da Água Branca;2111532;-48,368982;-5,133523;323;528,34432
RJ;São José de Ubá;3305133;-41,949187;-21,370482;323;633,4848
GO;Pilar de Goiás;5216908;-49,521698;-14,58721;322;760,40704
CE;Alto Santo;2300705;-38,200572;-5,517625;321;442,95552
MG;São Joaquim de Bicas;3162922;-44,249001;-20,07085;320;297,1776
BA;Santa Bárbara;2927507;-38,979317;-11,939478;318;267,3792
PI;Avelino Lopes;2201101;-43,951098;-10,166346;317;440,88896
CE;Miraíma;2308377;-39,910519;-3,560863;316;556,304
MG;Prudente de Morais;3153608;-44,111442;-19,464455;315;749,3472
PI;Pavussu;2207850;-43,337231;-7,9253;314;405,20192
MG;Santos Dumont;3160702;-43,525719;-21,457727;314;493,34272
ES;Boa Esperança;3201001;-40,329071;-18,484787;314;296,92032
BA;Andorinha;2901353;-39,891621;-10,291364;313;415,40608
GO;Água Limpa;5200209;-48,791731;-18,077988;313;638,64216
PB;Cajazeiras;2503704;-38,5404;-6,918385;311;697,3952
MG;Iapu;3129301;-42,242751;-19,347115;310;494,624
PB;Riachão;2512747;-35,646291;-6,542105;309;445,42592
MG;Nova Era;3144706;-43,013747;-19,71882;309;725,3568
PI;São João da Canabrava;2209856;-41,391621;-6,691816;309;290,03264
ES;Vila Valério;3205176;-40,329486;-18,966543;308;259,9936
RN;Parnamirim;2403251;-35,230512;-5,914136;308;263,23264
MG;São José do Alegre;3163201;-45,517792;-22,330383;306;612,612
MG;Martins Soares;3140530;-41,842668;-20,258885;304;705,90464
RJ;Iguaba Grande;3301876;-42,217975;-22,828709;303;252,096
RN;Parazinho;2408805;-35,947204;-5,291224;303;395,936
AL;São Brás;2708204;-36,863499;-10,10784;303;316,07936
PE;Bom Conselho;2602100;-36,684013;-9,202683;302;275,5584
PB;Cacimbas;2503555;-37,085419;-7,208622;302;559,6544
MG;Salto da Divisa;3157104;-40,02923;-16,110472;302;389,2384
ES;Conceição do Castelo;3201704;-41,265983;-20,370678;301;408,41344
CE;Granjeiro;2304806;-39,254029;-6,911454;301;582,97216
TO;Pindorama do Tocantins;1717008;-47,559191;-11,159955;300;249,6
